																							'†'		
'all viewpoints considered'	'+'	'activity be accessible'	'+'	'avoid evaluation apprehension'	'+'	'document has diverse viewpoints'	'+'	'foster discussion of differences'	'+'	'information sources be broad'	'+'	'increase content breadth'	'+'	'opinions be diverse'	'-'	'communication is succinct'	'-'	'flame wars be avoided'	'-'	'retain democratic nature'	'+'	'opposing views be expressed'	'+'	'sensitive issues be surfaced'	'activity be accessible'
'acceptance'	'+'	'agreement be sincere'	'+'	'build common ground'	'+'	'credibility be increased'	'+'	'flame wars be avoided'	'+'	'group stability'	'+'		'+'		'-'		'-'		'-'		'-'		'†'		'adoption'
'active groups'	'+'	'participation increased'	'+'		'+'		'+'		'+'		'+'		'+'		'-'		'-'		'-'		'-'		'†'		'agreement be sincere'
'active participation'	'+'		'+'		'+'		'+'		'+'		'+'		'+'		'-'		'-'		'-'		'-'		'†'		'avoid evaluation apprehension'
'adhere to standard process'	'+'	'effort be minimal'	'+'		'+'		'+'		'+'		'+'		'+'		'-'	'emergent collaboration'	'-'		'-'		'-'		'†'		'awareness of others activities be supported'
'analyse comment topic'	'+'	'efficiently aggregate content'	'+'		'+'		'+'		'+'		'+'		'+'		'-'	'ease of use'	'-'		'-'		'-'		'†'		'be associated with status'
'argument presentation'	'+'	'express arguments formally'	'+'		'+'		'+'		'+'		'+'		'+'		'-'		'-'		'-'		'-'		'†'		'build common ground'
'awareness of shared representation'	'+'	'foster group identity'	'+'	'community bond be forged'	'+'	'awareness of others activities be supported'	'+'	'collective knowledge representation be supported'	'+'		'+'		'+'		'-'		'-'		'-'		'-'		'†'		'collective knowledge representation be supported'
'bridge f2f and online'	'+'	'trust'	'+'	'credibility be increased'	'+'	'participation'	'+'	'activity be accessible'	'+'		'+'		'+'		'-'		'-'		'-'		'-'		'†'		'communication is succinct'
'comfortable communication'	'+'	'build common ground'	'+'		'+'		'+'		'+'		'+'		'+'		'-'	'flame wars be avoided'	'-'		'-'		'-'		'†'		'community be evolvable'
'comment'	'+'	'participation'	'+'		'+'		'+'		'+'		'+'		'+'		'-'		'-'		'-'		'-'		'†'		'community be sustainable'
'complex search queries'	'+'		'+'		'+'		'+'		'+'		'+'		'+'		'-'	'ease of use'	'-'		'-'		'-'		'†'		'community bond be forged'
'consciously produce social cues'	'+'	'increase user social ties'	'+'	'social norms be emergent'	'+'		'+'		'+'		'+'		'+'		'-'	'ease of use'	'-'		'-'		'-'		'†'		'community involvement'
'contribute opinion'	'+'	'participation'	'+'	'document has diverse viewpoints'	'+'	'opinions be diverse'	'+'		'+'		'+'		'+'		'-'	'avoid evaluation apprehension'	'-'		'-'		'-'		'†'		'content be engaging'
'contribute to diverse topics'	'+'	'involvement be increased'	'+'	'participation'	'+'		'+'		'+'		'+'		'+'		'-'	'build common ground'	'-'		'-'		'-'		'†'		'credibility be increased'
'create safe spaces'	'+'	'flame wars be avoided'	'+'	'avoid evaluation apprehension'	'+'	'trust'	'+'		'+'		'+'		'+'		'-'		'-'		'-'		'-'		'†'		'decision making be facilitated'
'detect frequent viewers'	'+'		'+'		'+'		'+'		'+'		'+'		'+'		'-'		'-'		'-'		'-'		'†'		'determining relevent discussion to join be simple'
'differetiate community from others'	'+'		'+'		'+'		'+'		'+'		'+'		'+'		'-'		'-'		'-'		'-'		'†'		'discussion be ethical'
'direct access to content of interest'	'+'		'+'	'efficiently aggregate content'	'+'	'involvement be increased'	'+'	'relevant information be accesible'	'+'	'determining relevent discussion to join be simple'	'+'		'+'		'-'	'foster discussion of differences'	'-'	'sensitive issues be surfaced'	'-'		'-'		'†'		'divergent thinking be facilitated'
'distinguish members'	'+'	'be associated with status'	'+'	'identify valuable participants'	'+'	'identity is projected to others'	'+'		'+'		'+'		'+'		'-'	'avoid evaluation apprehension'	'-'		'-'		'-'		'†'		'document has diverse viewpoints'
'do not state disagreement'	'+'	'group unity'	'+'	'flame wars be avoided'	'+'	'avoid evaluation apprehension'	'+'		'+'		'-'	'foster discussion of differences'	'-'	'opposing views be expressed'	'-'	'flame wars be avoided'	'-'	'neutrality'	'-'	'relevant information be accesible'	'-'	'selective dissemination of informaiton'	'†'		'ease of use'
