,,,,,,,,,,,,,,,,,†,decomposes into,
provide equal opportunity to participate,+,acceptance,+,contribute opinion,+,,+,,-,limit access to opposing team,-,,-,,-,,†,,all viewpoints considered
access limitations,+,,+,,+,,+,,-,all viewpoints considered,-,,-,,-,,†,,acceptance
advertise value of standards,+,express arguments formally,+,,+,,+,,-,,-,,-,,-,,†,,active groups
anonymity,+,create safe spaces,+,,+,,+,,-,do not state disagreement,-,natural interaction,-,portray social cues,-,,†,,active participation
anonymous advice,+,,+,,+,,+,,-,,-,,-,,-,,†,anonymity, provide advice,adhere to standard process
articulate purpose of community,+,icommunicate community norms,+,,+,,+,,-,,-,,-,,-,,†,,analyse comment topic
avoid grouping similar people,+,all viewpoints considered,+,group discussion of material,+,,+,,-,comfortable communication,-,emphasize shared background,-,do not state disagreement,-,,†,,argument presentation
collaborative filtering,+,justify censorship,+,"vote on content",+,"view popular content",+,help interpret messages,-,comfortable communication,-,all viewpoints considered,-,little social pressure,-,,†,,awareness of shared representation
comment support,+,,+,,+,,+,,-,,-,,-,,-,,†,textual discussion,bridge f2f and online
connect discussion to decision making,+,acceptance,+,emphasize alliance with reputable organziations,+,indicate external credibility,+,,-,comfortable communication,-,,-,,-,,†,,comfortable communication
conversation stored as document,+,single repository of knowledge,+,"archive conversations",+,,+,,-,,-,,-,,-,,†,,comment
detect user activity,+,,+,,+,,+,,-,,-,,-,,-,,†,user profiles,complex search queries
develop user roles,+,group discussion of material,+,portray social cues,+,distinguish members,+,,-,little social pressure,-,easily contribute,-,,-,,†,user profiles,consciously produce social cues
discussion threading,+,scroll through conversation,+,small messages,+,analyse comment topic,+,"overview [discussion]",-,easily contribute,-,prioritize content,-,reply effort,-,,†,textual discussion,contribute opinion
display association with reputable org,+,differetiate community from others,+,sense of relevancy,+,,+,,-,"be independent",-,,-,,-,,†,,contribute to diverse topics
display team icons,+,distinguish members,+,,+,,+,,-,,-,all viewpoints considered,-,,-,,†,groups,create safe spaces
display user post count,+,contribute opinion,+,detect frequent viewers,+,distinguish members,+,indicate user activity history,-,"prioritize quality over quantity",-,,-,,-,,†,,detect frequent viewers
emphaize uniqueness of contribution,+,contribute opinion,+,help interpret messages,+,all viewpoints considered,+,,-,,-,,-,,-,,†,,differetiate community from others
emphasize divergent opinions,+,all viewpoints considered,+,identify moral differences,+,,+,,-,do not state disagreement,-,comfortable communication,-,,-,,†,,direct access to content of interest
emphasize group size and strength,+,perceive space as active,+,sense of relevancy,+,,+,,-,all viewpoints considered,-,little social pressure,-,,-,,†,,distinguish members
face-to-face,+,distinguish members,+,help interpret messages,+,portray social cues,+,,-,little social pressure,-,,-,,-,,†,,do not state disagreement
group memory recording,+,"archive conversations",+,evaluate content,+,,+,,-,,-,,-,,-,,†,groups,easily contribute
group rule followers,+,comfortable communication,+,,+,icommunicate community norms,+,,-,,-,justify censorship,-,,-,,†,groups,emphasize alliance with reputable organziations
groups,+,expand spaces for interaction,+,create safe spaces,+,group discussion of material,+,comfortable communication,-,all viewpoints considered,-,identify moral differences,-,,-,,†,,emphasize shared background
implicit rating,+,,+,,+,,+,,-,,-,,-,,-,,†,,evaluate content
incremental formalization,+,argument presentation,+,evaluate content,+,help interpret messages,+,identify moral differences,-,easily contribute,-,natural interaction,-,,-,,†,,expand spaces for interaction
interaction archive,+,"archive conversations",+,,+,,+,,-,,-,,-,,-,,†,,express arguments formally
interweave content and discussion,+,group discussion of material,+,increase individual contributions,+,evaluate content,+,,-,separate analysis from ideation,-,expand spaces for interaction,-,,-,,†,,expressive communication
joint email,+,,+,,+,,+,,-,,-,,-,,-,,†,,group discussion of material
knowledge formalization,+,,+,,+,,+,,-,,-,,-,,-,,†,,help interpret messages
local learning seminars,+,,+,,+,,+,,-,,-,,-,,-,,†,,icommunicate community norms
locate users on map,+,distinguish members,+,,+,,+,,-,,-,,-,,-,,†,user profiles,identify moral differences
mandate search for related ideas,+,all viewpoints considered,+,analyse comment topic,+,help interpret messages,+,,-,"time consuming",-,,-,,-,,†,,increase individual contributions
memo card,+,comfortable communication,+,,+,,+,,-,,-,,-,,-,,†,,indicate external credibility
memo cards,+,,+,,+,,+,,-,,-,,-,,-,,†,,indicate user activity history
moderation,+,adhere to standard process,+,comfortable communication,+,distinguish members,+,do not state disagreement,-,all viewpoints considered,-,,-,,-,,†,,integrate into single document
monitor user online status,+,active groups,+,active participation,+,perceive space as active,+,recognize user status,-,,-,,-,,-,,†,,justify censorship
online status updates,+,,+,,+,,+,,-,,-,,-,,-,,†,,knowledge formalization
persistent identity,+,recognize user status,+,identify experts,+,,+,,-,comfortable communication,-,contribute opinion,-,contribute to diverse topics,-,,†,,limit access to opposing team
personalization,+,,+,,+,,+,,-,,-,,-,,-,,†,,little social pressure
private discussion groups,+,limit access to opposing team,+,,+,,+,,-,,-,,-,,-,,†,groups,membership reminder
profile outlines moral positoins,+,distinguish members,+,publish personal interests,+,distinguish members,+,,-,comfortable communication,-,,-,,-,,†,,natural interaction
prominent display of contributions,+,,+,,+,,+,,-,,-,,-,,-,,†,,negative moderation
promote competitoin among groups,+,increase individual contributions,+,,+,,+,,-,little social pressure,-,,-,,-,,†,,no horizontal scrolling
purpose statement,+,portray social cues,+,justify censorship,+,,+,,-,expand spaces for interaction,-,,-,,-,,†,,no moderation
qurery prothesis,+,,+,,+,,+,,-,,-,,-,,-,,†,,obtain social cues
reply support,+,portray social cues,+,,+,,+,,-,reply effort,-,express arguments formally,-,,-,,†,textual discussion,perceive space as active
require comment labeling,+,,+,,+,,+,,-,easily contribute,-,,-,,-,,†,,portray social cues
